2020-12-06 21:16:30,693 root         DEBUG    Challenge num 02
2020-12-06 21:16:30,693 root         DEBUG    Name Basics of Sets and Relations #2
2020-12-06 21:16:30,693 root         DEBUG    - Locating... Basics of Sets and Relations #2
2020-12-06 21:16:30,695 root         DEBUG    NOTE: Basics of Sets and Relations #2 already saved


2020-12-06 21:16:30,695 selenium.webdriver.remote.remote_connection DEBUG    GET http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/element/f1e115af-10cf-4f14-a2ec-94c4bd149306/text {"id": "f1e115af-10cf-4f14-a2ec-94c4bd149306"}
2020-12-06 21:16:30,709 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "GET /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/element/f1e115af-10cf-4f14-a2ec-94c4bd149306/text HTTP/1.1" 200 81
2020-12-06 21:16:30,710 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:30,710 root         INFO     Parsing - 3
2020-12-06 21:16:30,710 root         DEBUG    Basics of Sets and Relations #3
EasyMax Score: 5Success Rate: 97.40%
2020-12-06 21:16:30,710 root         INFO     Parsing information for databases - 1_relational_algebra, 3
2020-12-06 21:16:30,710 root         DEBUG    Parsing text:

Basics of Sets and Relations #3
EasyMax Score: 5Success Rate: 97.40%


2020-12-06 21:16:30,710 root         DEBUG    Challenge num 03
2020-12-06 21:16:30,710 root         DEBUG    Name Basics of Sets and Relations #3
2020-12-06 21:16:30,711 root         DEBUG    - Locating... Basics of Sets and Relations #3
2020-12-06 21:16:30,712 root         DEBUG    NOTE: Basics of Sets and Relations #3 already saved


2020-12-06 21:16:30,712 selenium.webdriver.remote.remote_connection DEBUG    GET http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/element/2acc8bce-c729-4609-8807-a7fcb1d3070e/text {"id": "2acc8bce-c729-4609-8807-a7fcb1d3070e"}
2020-12-06 21:16:30,724 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "GET /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/element/2acc8bce-c729-4609-8807-a7fcb1d3070e/text HTTP/1.1" 200 81
2020-12-06 21:16:30,725 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:30,725 root         INFO     Parsing - 4
2020-12-06 21:16:30,725 root         DEBUG    Basics of Sets and Relations #4
EasyMax Score: 5Success Rate: 96.91%
2020-12-06 21:16:30,725 root         INFO     Parsing information for databases - 1_relational_algebra, 4
2020-12-06 21:16:30,725 root         DEBUG    Parsing text:

Basics of Sets and Relations #4
EasyMax Score: 5Success Rate: 96.91%


2020-12-06 21:16:30,725 root         DEBUG    Challenge num 04
2020-12-06 21:16:30,726 root         DEBUG    Name Basics of Sets and Relations #4
2020-12-06 21:16:30,726 root         DEBUG    - Locating... Basics of Sets and Relations #4
2020-12-06 21:16:30,727 root         DEBUG    NOTE: Basics of Sets and Relations #4 already saved


2020-12-06 21:16:30,727 selenium.webdriver.remote.remote_connection DEBUG    GET http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/element/e907754a-bfbc-4f57-9a63-5e79bd65d3f0/text {"id": "e907754a-bfbc-4f57-9a63-5e79bd65d3f0"}
2020-12-06 21:16:30,734 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "GET /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/element/e907754a-bfbc-4f57-9a63-5e79bd65d3f0/text HTTP/1.1" 200 136
2020-12-06 21:16:30,735 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:30,735 root         DEBUG    ADVERT - Found HackerRank Skills Certification Test in text
2020-12-06 21:16:30,735 selenium.webdriver.remote.remote_connection DEBUG    GET http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/element/1693e181-88b9-49b0-87b8-e9ad7f84510f/text {"id": "1693e181-88b9-49b0-87b8-e9ad7f84510f"}
2020-12-06 21:16:30,747 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "GET /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/element/1693e181-88b9-49b0-87b8-e9ad7f84510f/text HTTP/1.1" 200 81
2020-12-06 21:16:30,747 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:30,747 root         INFO     Parsing - 5
2020-12-06 21:16:30,748 root         DEBUG    Basics of Sets and Relations #5
EasyMax Score: 5Success Rate: 97.79%
2020-12-06 21:16:30,748 root         INFO     Parsing information for databases - 1_relational_algebra, 5
2020-12-06 21:16:30,748 root         DEBUG    Parsing text:

Basics of Sets and Relations #5
EasyMax Score: 5Success Rate: 97.79%


2020-12-06 21:16:30,748 root         DEBUG    Challenge num 05
2020-12-06 21:16:30,748 root         DEBUG    Name Basics of Sets and Relations #5
2020-12-06 21:16:30,748 root         DEBUG    - Locating... Basics of Sets and Relations #5
2020-12-06 21:16:30,749 root         DEBUG    NOTE: Basics of Sets and Relations #5 already saved


2020-12-06 21:16:30,750 selenium.webdriver.remote.remote_connection DEBUG    GET http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/element/1e12c5f8-68fa-4c12-9e2a-d1bbc39be0d2/text {"id": "1e12c5f8-68fa-4c12-9e2a-d1bbc39be0d2"}
2020-12-06 21:16:30,763 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "GET /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/element/1e12c5f8-68fa-4c12-9e2a-d1bbc39be0d2/text HTTP/1.1" 200 81
2020-12-06 21:16:30,763 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:30,763 root         INFO     Parsing - 6
2020-12-06 21:16:30,763 root         DEBUG    Basics of Sets and Relations #6
EasyMax Score: 5Success Rate: 97.02%
2020-12-06 21:16:30,764 root         INFO     Parsing information for databases - 1_relational_algebra, 6
2020-12-06 21:16:30,764 root         DEBUG    Parsing text:

Basics of Sets and Relations #6
EasyMax Score: 5Success Rate: 97.02%


2020-12-06 21:16:30,764 root         DEBUG    Challenge num 06
2020-12-06 21:16:30,764 root         DEBUG    Name Basics of Sets and Relations #6
2020-12-06 21:16:30,764 root         DEBUG    - Locating... Basics of Sets and Relations #6
2020-12-06 21:16:30,766 root         DEBUG    NOTE: Basics of Sets and Relations #6 already saved


2020-12-06 21:16:30,766 selenium.webdriver.remote.remote_connection DEBUG    GET http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/element/58589464-f24f-4130-9465-3f52de76fd91/text {"id": "58589464-f24f-4130-9465-3f52de76fd91"}
2020-12-06 21:16:30,777 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "GET /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/element/58589464-f24f-4130-9465-3f52de76fd91/text HTTP/1.1" 200 81
2020-12-06 21:16:30,777 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:30,778 root         INFO     Parsing - 7
2020-12-06 21:16:30,778 root         DEBUG    Basics of Sets and Relations #7
EasyMax Score: 5Success Rate: 98.24%
2020-12-06 21:16:30,778 root         INFO     Parsing information for databases - 1_relational_algebra, 7
2020-12-06 21:16:30,778 root         DEBUG    Parsing text:

Basics of Sets and Relations #7
